algorithm,dataset,scenario,clients(K),end_to_end_ms,bytes_per_client,per_client_kB,total_bytes,total_kB,aggregation_ok
FE,HeartDisease,full,303,1006.47 ± 0.00,3072,3.0,930816,909.0,True
FE,HAR,full,305,74770.93 ± 0.00,144128,140.75,43959040,42928.75,True
FE,FAOSTATT,full,76,180.69 ± 0.00,1536,1.5,116736,114.0,True
